Record Date,Surplus (+) or Deficit (-),Total Outlays,Total Receipts
2015-03-31,-52.91005993036,287.09739783405,234.18733790369
2015-04-30,156.71407843925,315.08716235127,471.80124079052
2015-05-31,-82.38527841903999,294.77110583673,212.38582741769
2015-06-30,51.775764001540004,291.15728935924,342.93305336078004
2015-07-31,-149.18676611285,374.68013358053,225.49336746768
2015-08-31,-64.42051991251,275.25735711838,210.83683720586998
2015-09-30,91.06053109438001,274.41230865186,365.47283974623997
2015-10-31,-136.53208481492,347.57833020365996,211.04624538873998
2015-11-30,-64.55291957894,269.52071951356,204.96779993462
2015-12-31,-14.4439438535,364.0746566499,349.6307127964
2016-01-31,55.16328851489,258.41569256629003,313.57898108118
2016-02-29,-192.61400170635997,361.76085722156,169.1468555152
2016-03-31,-108.04273073878,335.89055770011,227.84782696133
2016-04-30,106.45187183668,331.98047259785,438.43234443453
2016-05-31,-52.50741284454,277.11084424098,224.60343139644002
2016-06-30,6.25198744016,323.32023530394,329.5722227441
2016-07-31,-112.8152385045,322.81290274045,209.99766423595003
2016-08-31,-107.11157568003999,338.43838777361,231.32681209357
2016-09-30,33.35949405496,323.17787114884004,356.5373652038
2016-10-31,-44.19220097674,265.88426914769,221.69206817095002
2016-11-30,-136.65057490356,336.52552910382,199.87495420026002
2016-12-31,-27.51579855866,346.71993270795,319.20413414929
2017-01-31,51.257177643,292.81210748522,344.06928512822
2017-02-28,-192.04446533546,363.75711782815,171.71265249269
2017-03-31,-176.23232530804998,392.81587973624,216.58355442819
2017-04-30,182.42805764871,273.17731915318,455.60537680189003
2017-05-31,-88.42599436617999,328.8439692987,240.41797493252
2017-06-30,-90.23319107067,428.89367878413003,338.66048771346004
2017-07-31,-42.93937760097,274.97952605458,232.04014845361
2017-08-31,-107.68877677988,333.99974607238,226.3109692925
2017-09-30,8.00008293523,340.72221582537,348.7222987606
2017-10-31,-63.214017966949996,298.55466874265005,235.3406507757
2017-11-30,-138.54743781759,346.92169999196994,208.37426217438
2017-12-31,-23.193559488720002,348.99044973869,325.79689024997
2018-01-31,49.235720707919995,311.8018700787,361.03759078662
2018-02-28,-215.2481724224,370.87088947229,155.62271704989
2018-03-31,-208.74324980988,419.57561932383004,210.83236951395
2018-04-30,214.25511366730998,296.19155460363,510.44666827094
2018-05-31,-146.79644336556,363.87138125989003,217.07493789433
2018-06-30,-74.85799046356,391.13618456514,316.27819410158
2018-07-31,-76.86522967062,302.13145248271996,225.2662228121
2018-08-31,-214.14752548064,433.26279160834,219.1152661277
2018-09-30,119.11600888032001,224.44333533663,343.55934421695
2018-10-31,-100.49114254473,353.18266942354,252.69152687881
2018-11-30,-204.90255739878,410.86368597308,205.96112857429998
2018-12-31,-13.53935862905,326.12339688738,312.58403825833
2019-01-31,8.68286661098,331.29718203140004,339.98004864238
2019-02-28,-233.97724882679998,401.24271700560996,167.26546817881
2019-03-31,-146.94502532954002,375.7562558185,228.81123048895998
2019-04-30,160.30450890985998,375.24002146572997,535.54453037559
2019-05-31,-207.76839134666,439.83288937043,232.06449802377
2019-06-30,-8.47631845422,342.42865096798,333.95233251376
2019-07-31,-119.69580619346,371.0435933254,251.34778713194
2019-08-31,-200.34434892913,428.30932651434995,227.96497758522
2019-09-30,82.76765846478,291.26049889764,374.02815736241996
2019-10-31,-134.46756493381,379.98772277271,245.5201578389
2019-11-30,-208.83829445674,434.02370995402003,225.18541549728
2019-12-31,-13.27255731642,349.07795880131,335.80540148489
2020-01-31,-32.59328000764,404.88119377634,372.28791376870004
2020-02-29,-235.33521387457,423.28575352462,187.95053965005
2020-03-31,-119.12516471802,355.89139624982,236.76623153179997
2020-04-30,-737.8506210796501,979.7136293955699,241.86300831592
2020-05-31,-398.82141365968,572.68197059825,173.86055693857
2020-06-30,-864.0740684917099,1104.90273684442,240.82866835271
2020-07-31,-62.99172639454,626.48738953523,563.4956631406899
2020-08-31,-200.09501510766,423.31629211783,223.22127701017
2020-09-30,-124.61055841919,497.77990523144,373.16934681225
2020-10-31,-284.07053717284003,521.76850357994,237.6979664071
2020-11-30,-145.26626352985,364.81885911795,219.55259558810002
2020-12-31,-143.56232743913,489.68155583604,346.11922839691
2021-01-31,-162.83248946754,547.48326842566,384.65077895812
2021-02-28,-310.92194250466997,559.23599928085,248.31405677618
2021-03-31,-659.59161844058,927.2059375238299,267.61431908325
2021-04-30,-225.57946032577,664.76565563825,439.18619531248
2021-05-31,-131.95306316821,595.69795152198,463.74488835377
2021-06-30,-174.16055026216,623.3592167468901,449.19866648473
2021-07-31,-302.0504883435,564.05018796311,261.99969961961
2021-08-31,-170.63465366187,439.01273655965997,268.37808289779
2021-09-30,-61.54425121268,521.06734116283,459.52308995015005
2021-10-31,-165.05536693325,448.98272815582,283.92736122257
2021-11-30,-191.33504052197,472.54307235179,281.20803182982
2021-12-31,-21.30312942523,508.04103098277,486.73790155754
2022-01-31,118.69885824166,346.37991400583,465.07877224749
2022-02-28,-216.58975205604997,506.47549550495,289.88574344890003
2022-03-31,-192.68238665693,507.85454282165,315.17215616472
2022-04-30,308.21506052678996,555.4335480363101,863.6486085631
2022-05-31,-66.22256120958001,455.21570900277004,388.99314779319
2022-06-30,-88.84151292608999,549.60292479355,460.76141186746
2022-07-31,-211.05176005026001,480.38681394184005,269.33505389158
2022-08-31,-219.59624094964002,523.32264154448,303.72640059484
2022-09-30,-429.67347896184003,917.39636719388,487.72288823203996
2022-10-31,-87.79783631139,406.37424397226,318.57640766087
2022-11-30,-248.53488065258,500.64568963498,252.1108089824
2022-12-31,-85.00073657788,539.9431082374,454.94237165952
2023-01-31,-38.78377183922,486.07208980151,447.28831796228997
2023-02-28,-262.43384319423,524.54775269011,262.11390949588
2023-03-31,-378.07631647174,691.3166808841501,313.24036441241
2023-04-30,176.18079034912,462.33957080939,638.52036115851
2023-05-31,-240.34823965837,547.83512000878,307.48688035041
2023-06-30,-227.76841253805,646.08531490701,418.31690236896003
2023-07-31,-220.7820973536,496.94295149745,276.16085414385
2023-08-31,89.25557269373,193.87463346353,283.13020615726003
2023-09-30,-170.98220087478,638.45488424474,467.47268336996
2023-10-31,-66.56355112973,469.99709204953,403.4335409198
2023-11-30,-314.01200228709,588.84203806824,274.83003578115
2023-12-31,-129.36541491979,558.67606948587,429.31065456608
2024-01-31,-21.93035633102,499.25001178818,477.31965545715997
2024-02-29,-296.27464807989,567.40071683898,271.12606875909
2024-03-31,-236.4568239502,568.5478330982099,332.09100914801
2024-04-30,209.52930662532998,566.66878655161,776.1980931769399
2024-05-31,-347.13089369165004,670.7778806700501,323.64698697840004
2024-06-30,-65.96529247634,532.2202108835,466.25491840715995
